Date,DocumentWeight,Amount Awarded,Identifier,Topic
2005,7.26719090398,1884868.0,361,topic14
2006,3.02580757916,767155.0,148,topic14
2007,2.18325796609,872203.0,105,topic14
2008,2.13649142537,844358.0,105,topic14
2009,0.871054602671,438774.0,43,topic14
2010,0.298335841967,107963.0,15,topic14
2011,0.0610784604139,24180.0,3,topic14
2012,0.275095934782,381852.0,14,topic14
2013,0.387483079174,149567.0,19,topic14
2014,0.309235732421,103903.0,15,topic14
2015,0.139133238525,49531.0,7,topic14
2016,0.945877535944,321168.0,47,topic14
2017,0.0793987381073,38204.0,4,topic14
2018,0.0,0.0,0,topic14
