Identifier,Title,Description,Award Date,Amount Awarded,Funding Org:Identifier,Funding Org:Name,DocumentWeight
360G-blf-0030002365,Lark in the Park - A Bit of a Do,"This is a project by The Friends of Richmond Park. Their project is to have an event in the park to celebrate the parks birthday.  Prior to the event they will run workshops to make decorations for the day. The award will include funding for two workshops for children and families, face painter, street theatres and live music.",2007-06-19,4340.0,360G-blf,The Big Lottery Fund,0.0211168032465
360G-blf-0030045977,Multicultural Arts Festival,The group aim to promote an appreciation of the arts in and around Ilkley.  They will use the award to fund an arts festival in the summer of 2006.,2006-02-15,4174.0,360G-blf,The Big Lottery Fund,0.0211145457522
360G-blf-0030044742,festival of five,A weekend arts festival will be held for the school and community to celebrate their fifth anniversary. The festival of five will include a variety of workshops and taster sessions given by local groups and bring the community together in a day of celebration.,2006-03-30,4950.0,360G-blf,The Big Lottery Fund,0.0211134504358
360G-blf-A4E_3_010169954,Solfest,This group will organise its second festival in the summer of 2005 which will provide a range of arts and music.  The event was a great success last you and this award will allow the group to build on the activities that took place by expanding the children's entertainment. marquee hire and children/family workshops.,2005-07-21,5000.0,360G-blf,The Big Lottery Fund,0.0211120073997
360G-blf-0030036180,Skills and Arts Exhibition,"Community event to encourage disabled and non-disabled people to join together in arts, music, drama and dance workshops and also stage an art exhibition. Event will promote and raise awareness of disabled issues such as access and equal opportunities.",2005-03-17,5000.0,360G-blf,The Big Lottery Fund,0.0211113556601
360G-RobertsonTrust-0060X00000UDeIjQAL,The 2018 Festival Music Workshops for Young People,The 2018 Festival Music Workshops for Young People,2018-03-29T00:00:00+00:00,1000.0,GB-SC-SC002970,The Robertson Trust,0.0211089609434
360G-blf-0030038425,Dance and Music Workshops,"This project will provide weekly African dance, music and storytelling workshops to groups of disabled people in Camden.",2006-08-10,10000.0,360G-blf,The Big Lottery Fund,0.0211085253732
360G-blf-0030029524,Music Festival,"Group will celebrate its centenary by delivering a festival of choral music, which will feature a children's choir and a new composition written especially for the event.",2006-01-18,5000.0,360G-blf,The Big Lottery Fund,0.0211025822294
360G-blf-0030022000,Bedford Festival of Faiths,"This group promote understanding and respect of different religions. The project is to run a three day community festival with interactive exhibitions to showcase stories, dance, music, food and culture of the participating faiths.",2008-09-15,3966.0,360G-blf,The Big Lottery Fund,0.0211001717371
360G-blf-A4E_3_010149518,Arts project equipment,Free arts workshops will be available to create and make spectacular Rio style carnival exhibits and then process with them in the town's annual Lafrowda Day festival.,2005-03-24,4900.0,360G-blf,The Big Lottery Fund,0.0210932185083
360G-blf-0031041983,Let Your Light Shine,"The project will use the funding to run workshops for local school children to present dance, art and music performances at a local festival. This will enable the organisation to celebrate the cultural diversity of the local community.  ",2016-11-11T00:00:00+00:00,10000.0,360G-blf,The Big Lottery Fund,0.0210925211467
360G-blf-0030022301,The Penkhull Festival of Music and Art,"A project by this community group from Penkhull in Stoke-On-Trent to hold a music and art festival, which will include concerts performed by professional musicians and local pupils as well as workshops for the local community to take part in, an art exhibition will also be held in the village hall.",2008-09-15,4400.0,360G-blf,The Big Lottery Fund,0.0210919743381
360G-blf-0030065950,Arts & Cultural Workshops,"The grant will run the 'Arts and Cultural Workshops'.  The local community and young people will be enouraged to get involved and developed new skills and build on confidence and self-esteem.  The range of workshops will include:African drums, arts and crafts, dance, straw crafts, drama, singing, Irish language and Bulgarian traditional dance.",2013-08-28,9575.0,360G-blf,The Big Lottery Fund,0.0210902568725
360G-blf-0030028255,Soho Arts Festival,The group will use an Award to fund a family-orientated street arts festival on Duck Lane. The event is designed to bring the community together to celebrate the rich diversity and artistic talent of the local area.,2005-12-14,4750.0,360G-blf,The Big Lottery Fund,0.0210726637233
360G-blf-A4E_3_010147136,workshops & music events,This new group will organise various community arts activities in the Crediton area throughout 2005.,2005-03-03,4800.0,360G-blf,The Big Lottery Fund,0.0210669278856
360G-blf-A4E_3_010154769,National Street Music Festival,The group are a community choir who meet weekly to develop their enjoyment of singing and music and they occasionally perform at local venues.They will use the award to pay for venue hire and workshops as they host the 23rd National Sheet Music Festival.,2005-05-18,4150.0,360G-blf,The Big Lottery Fund,0.0210599378725
360G-blf-0030036986,music & dance workshops,"A weekend of dance and music will be held in Launceston, with opportunities for local people to take part in workshops and performances.",2005-05-19,3840.0,360G-blf,The Big Lottery Fund,0.021058742915
360G-blf-0031042054,Signhills Academy Community Heritage & Arts Festival,"This project is a one day celebratory event which will incorporate the themes of seaside heritage, art and music. This will bring different generations together to celebrate the local community.",2016-11-11T00:00:00+00:00,8400.0,360G-blf,The Big Lottery Fund,0.0210521798412
