,index,topic0,topic1,topic10,topic11,topic12,topic13,topic14,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
110,2006-11-01,0.0,2663453.0,14710.0,8199.0,26642.0,54920.0,10400.0,9535.0,15000.0,0.0,58750.0,20153.0,15710.0,0.0,283796.0
111,2006-12-01,0.0,1748708.0,14128.0,18912.0,46201.0,14405.0,36415.0,30927.0,5000.0,0.0,19893.0,23961.0,37169.0,0.0,0.0
112,2007-01-01,0.0,156364.0,15320.0,41714.0,14860.0,7873.0,16368.0,4992.0,0.0,0.0,8000.0,2758.0,0.0,0.0,95064.0
113,2007-02-01,0.0,4500.0,0.0,36613.0,237642.0,28994.0,50227.0,11000.0,19988.0,0.0,1109741.0,43512.0,112205.0,31000.0,193129.0
114,2007-03-01,0.0,180000.0,10710.0,24980.0,21883.0,20000.0,31725.0,13174.0,0.0,0.0,9814.0,14737.0,10000.0,0.0,15000.0
115,2007-04-01,0.0,9930.0,0.0,107627.0,10217.0,4831.0,56874.0,10000.0,7000.0,0.0,50644.0,9996.0,47950.0,0.0,499038.0
116,2007-05-01,0.0,0.0,33000.0,34226.0,500.0,23324.0,70230.0,25996.0,2500.0,0.0,266822.0,13073.0,51761.0,57000.0,333496.0
117,2007-06-01,0.0,270066.0,0.0,13837.0,425761.0,8068.0,48127.0,7200.0,0.0,0.0,3784823.0,31182.0,10000.0,22915.0,4003916.0
118,2007-07-01,0.0,346100.0,10000.0,48432.0,14766.0,83400.0,45747.0,7125.0,9325.0,0.0,7200.0,18383.0,16313.0,4500.0,5000.0
119,2007-08-01,0.0,5000.0,219596.0,27115.0,3643.0,14341.0,74378.0,23504.0,5000.0,0.0,5000.0,26208.0,89221.0,0.0,504319.0
120,2007-09-01,0.0,543824.0,24524.0,14189.0,3400.0,0.0,9075.0,4920.0,0.0,0.0,10000.0,229444.0,14231.0,0.0,2044.0
121,2007-10-01,0.0,465665.0,47382.0,23215.0,7850.0,23930.0,18800.0,2591.0,0.0,0.0,0.0,12382.0,16372.0,1500.0,219100.0
122,2007-11-01,0.0,0.0,14700.0,25834.0,1478475.0,165451.0,11400.0,19205.0,10081.0,0.0,253917.0,0.0,372077.0,0.0,3375.0
123,2007-12-01,0.0,5000.0,31150.0,12071.0,138338.0,0.0,19397.0,9950.0,0.0,0.0,0.0,31089.0,15856.0,0.0,0.0
124,2008-01-01,0.0,74718.0,47274.0,4600.0,18580.0,77032.0,82880.0,28100.0,0.0,0.0,2635.0,27061.0,160000.0,0.0,125866.0
125,2008-02-01,0.0,8460.0,30996.0,0.0,0.0,2500.0,41380.0,60861.0,4000.0,0.0,9417.0,24456.0,19424.0,57000.0,10881926.0
126,2008-03-01,0.0,29230.0,26043.0,1000.0,16510.0,0.0,26998.0,53431.0,4842.0,0.0,4273.0,6645.0,20000.0,5999.0,0.0
127,2008-04-01,0.0,0.0,19451.0,8388.0,0.0,0.0,29200.0,9732.0,0.0,0.0,508171.0,10000.0,15742.0,0.0,995369.0
128,2008-05-01,0.0,2200.0,29798.0,7451.0,21500.0,298000.0,53916.0,64065.0,22000.0,0.0,0.0,0.0,7500.0,8690.0,0.0
129,2008-06-01,0.0,468984.0,27996.0,14685.0,10000.0,0.0,56362.0,3950.0,9371.0,0.0,9904.0,32662.0,26637.0,8360.0,0.0
130,2008-07-01,0.0,642930.0,11250.0,29810.0,489309.0,20000.0,54004.0,17152.0,0.0,0.0,0.0,12070.0,18948.0,5000.0,0.0
131,2008-08-01,0.0,0.0,10000.0,33899.0,1771.0,5756.0,7605.0,28833.0,0.0,0.0,1184325.0,17557.0,31910.0,0.0,0.0
132,2008-09-01,0.0,92910.0,10598.0,127180.0,22567.0,353461.0,19607.0,29800.0,0.0,0.0,22400.0,21262.0,38632.0,0.0,45202.0
133,2008-10-01,0.0,0.0,48342.0,19769.0,18015.0,9299.0,16738.0,47015.0,0.0,0.0,38480.0,21015.0,21300.0,5000.0,0.0
134,2008-11-01,0.0,16170.0,95738.0,4090.0,0.0,0.0,21369.0,77353.0,1560.0,0.0,20000.0,16917.0,471976.0,0.0,0.0
135,2008-12-01,0.0,3000.0,28234.0,14951.0,2750.0,0.0,49580.0,37159.0,0.0,0.0,12206.0,0.0,43830.0,0.0,10000.0
